page_id,page_url,locality,zip_code,property_type,property_subtype,price,number_of_bedrooms,livable_surface_m2,kitchen_equipment,furnished,has_terrace,terrace_area_m2,has_garden,garden_area_m2,land_area_m2,number_of_facades,has_swimming_pool,building_condition,build_year
15,https://immovlan.be/en/detail/residence/for-sale/2970/schilde/vbd67435,Schilde,2970,house,house,1065994,4,363,,,,,,,2963 m²,4,,New,
16,https://immovlan.be/en/detail/apartment/for-sale/3700/berg/rbv35175,Berg,3700,appartment,flat,275000,2,0,,,True,9 m²,,,,,,Excellent,2021
17,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbv26015,Berg,3700,house,house,249000,2,150,,,False,,,,347 m²,,,,1955
18,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbv25755,Berg,3700,house,house,399000,4,278,,,False,,True,,265 m²,,,,1850
20,https://immovlan.be/en/detail/investment-property/for-sale/3700/berg/rbv23155,Berg,3700,investmentProperty,returnBuilding,550000,,0,,,,,,,,,,To be renovated,1930
21,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbv13175,Berg,3700,house,house,144000,2,100,,False,False,,,,70 m²,,,To be renovated,1953
22,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbv13174,Berg,3700,house,house,130000,1,100,,False,False,,True,,100 m²,,,To be renovated,1899
23,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbv24662,Berg,3700,house,house,299000,3,175,,,False,,True,,520 m²,,,,1963
24,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbv24661,Berg,3700,house,house,140000,3,100,,,False,,,,160 m²,,,,1918
25,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbv24579,Berg,3700,house,house,187500,3,143,,,True,5 m²,,,60 m²,2,,,1939
26,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbv16619,Berg,3700,house,house,249000,3,190,,,False,,True,,460 m²,3,,,1966
27,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbv16314,Berg,3700,house,house,295000,4,173,,,True,27 m²,True,,242 m²,2,,,1954
28,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbv16313,Berg,3700,house,house,295000,4,170,,,True,27 m²,True,,253 m²,2,,,1954
29,https://immovlan.be/en/detail/residence/for-sale/3700/berg/rbv15117,Berg,3700,house,house,359000,3,279,,,True,,True,,157 m²,,,,1950
